num_workers,batch_size,dl_wait_mean_ms,dl_wait_p95_ms,images_per_sec
0,4,46.72,51.68,85.6
0,8,95.03,102.89,84.2
0,16,195.15,203.63,82.0
0,32,388.56,394.25,82.4
1,4,50.62,57.37,79.0
1,8,100.75,107.99,79.4
1,16,200.72,207.97,79.7
1,32,404.54,569.03,79.1
2,4,31.32,57.52,127.7
2,8,50.69,107.84,157.8
2,16,105.06,208.56,152.3
2,32,200.02,406.99,160.0
4,4,15.74,49.41,254.1
4,8,29.84,105.87,268.1
4,16,54.24,118.46,295.0
4,32,116.66,439.44,274.3
8,4,10.96,63.08,365.0
8,8,22.2,140.61,360.3
8,16,48.26,246.02,331.5
8,32,89.95,600.12,355.8
